label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,timestamp,wrist_x,wrist_y,wrist_z,thumb_cmc_x,thumb_cmc_y,thumb_cmc_z,thumb_mcp_x,thumb_mcp_y,thumb_mcp_z,thumb_ip_x,thumb_ip_y,thumb_ip_z,thumb_tip_x,thumb_tip_y,thumb_tip_z,index_mcp_x,index_mcp_y,index_mcp_z,index_pip_x,index_pip_y,index_pip_z,index_dip_x,index_dip_y,index_dip_z,index_tip_x,index_tip_y,index_tip_z,middle_mcp_x,middle_mcp_y,middle_mcp_z,middle_pip_x,middle_pip_y,middle_pip_z,middle_dip_x,middle_dip_y,middle_dip_z,middle_tip_x,middle_tip_y,middle_tip_z,ring_mcp_x,ring_mcp_y,ring_mcp_z,ring_pip_x,ring_pip_y,ring_pip_z,ring_dip_x,ring_dip_y,ring_dip_z,ring_tip_x,ring_tip_y,ring_tip_z,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z,pinky_pip_x,pinky_pip_y,pinky_pip_z,pinky_dip_x,pinky_dip_y,pinky_dip_z,pinky_tip_x,pinky_tip_y,pinky_tip_z
paper,0.2397284805774688,0.980536937713623,6.013052029629762e-07,0.3361450135707855,0.9117847084999084,-0.0294578950852155,0.4254034161567688,0.7881135940551758,-0.0397025980055332,0.4977850914001465,0.7040373682975769,-0.0527492649853229,0.5625855922698975,0.6767989993095398,-0.0663717687129974,0.3703170418739319,0.5712880492210388,-0.0064900750294327,0.4134861826896667,0.4316784143447876,-0.0257475096732378,0.4348569512367248,0.3502064347267151,-0.0454503335058689,0.4502362012863159,0.2747829556465149,-0.062299083918333,0.3135401308536529,0.5480046272277832,-0.015245665796101,0.3375750184059143,0.3827793896198272,-0.0305229909718036,0.3499683141708374,0.2865500748157501,-0.048936516046524,0.3558270335197449,0.204424500465393,-0.0648140683770179,0.2556827068328857,0.5603951811790466,-0.0305058825761079,0.268214464187622,0.4054342210292816,-0.0508163087069988,0.280679315328598,0.3153056502342224,-0.0710298269987106,0.2910393476486206,0.2347985506057739,-0.0870688706636428,0.1931536644697189,0.6050577163696289,-0.0501243658363819,0.1654977798461914,0.490208089351654,-0.0738908499479293,0.1456053704023361,0.4179460406303406,-0.0872506946325302,0.1292191743850708,0.3471527397632599,-0.0969942659139633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scissors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-12T18:43:25.213175,0.237331822514534,0.6261669993400574,3.21600992947424e-07,0.2376703023910522,0.5418545603752136,0.0151932965964078,0.2365366220474243,0.4747801423072815,0.0102876406162977,0.2435854077339172,0.4212628901004791,-0.0014116883976384,0.252301275730133,0.3941091299057007,-0.0116302594542503,0.1730538159608841,0.4566326439380646,0.0007533399621024,0.1625259667634964,0.3733137249946594,-0.0098303453996777,0.1516864448785781,0.3265968859195709,-0.018296493217349,0.1374640315771103,0.2893771231174469,-0.0258144382387399,0.1797845661640167,0.4698024690151214,-0.0183718204498291,0.1765968650579452,0.3781822621822357,-0.035657487809658,0.169124037027359,0.3213067650794983,-0.0476170927286148,0.1588989049196243,0.2780668139457702,-0.0567702278494834,0.1942781955003738,0.4879298508167267,-0.0352676734328269,0.2170583307743072,0.3916909098625183,-0.0464324653148651,0.2406270653009414,0.407904177904129,-0.0383140183985233,0.2488638758659362,0.4308066964149475,-0.0309115536510944,0.2166189104318618,0.49956214427948,-0.0519269108772277,0.2332805395126342,0.4247457385063171,-0.0525031983852386,0.2488275319337844,0.4315429627895355,-0.0414593443274498,0.2559077441692352,0.4497189521789551,-0.0332089886069297
rock,0.2139626890420913,0.798159122467041,-3.7037219158264644e-07,0.2880365550518036,0.6979508996009827,0.0024701331276446,0.3143985271453857,0.5862082839012146,-0.0067350566387176,0.3374943137168884,0.5055820941925049,-0.0217125974595546,0.3548387587070465,0.4257402718067169,-0.0287429224699735,0.1980619728565216,0.4632871150970459,0.0031819297000765,0.2986536026000976,0.4046932756900787,-0.0327259749174118,0.3068293333053589,0.4939598739147186,-0.050799548625946,0.2848729491233825,0.5328140258789062,-0.0590791627764701,0.1791586279869079,0.4695967137813568,-0.0137097723782062,0.3052494525909424,0.4371904134750366,-0.0467578656971454,0.3047711253166199,0.5386529564857483,-0.0490796193480491,0.2765128016471863,0.561977744102478,-0.0455114021897316,0.1775377094745636,0.4946824312210083,-0.0347745195031166,0.3036708235740661,0.4901029169559479,-0.0628648027777671,0.2974390685558319,0.5795702934265137,-0.0506769195199012,0.2657631337642669,0.5941058993339539,-0.0381737798452377,0.1893167793750763,0.534477710723877,-0.0567988418042659,0.2897528409957886,0.5399262309074402,-0.0695621520280838,0.2864336371421814,0.6025609970092773,-0.0595935843884944,0.2575608789920807,0.6146145462989807,-0.0504712462425231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scissors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-12T18:43:15.151002,0.2397606372833252,0.8963695764541626,8.123614065880247e-07,0.2813739776611328,0.83852618932724,-0.0354280360043048,0.2982085049152374,0.7434645891189575,-0.0536867901682853,0.2639699876308441,0.7080995440483093,-0.0713158547878265,0.2196319550275802,0.6932966113090515,-0.0870033428072929,0.273770123720169,0.5930805206298828,-0.0327219851315021,0.2827030718326568,0.4607208669185638,-0.0614715106785297,0.2877309620380401,0.378646969795227,-0.0772937834262847,0.288074254989624,0.3093089163303375,-0.0852247476577758,0.2298233062028885,0.6013458371162415,-0.0344139039516449,0.2235777378082275,0.4792883992195129,-0.0717255622148513,0.2166366279125213,0.3920279741287231,-0.0924911424517631,0.2077527642250061,0.3227328360080719,-0.0993713289499282,0.1920503973960876,0.6322373151779175,-0.0401251725852489,0.207500621676445,0.6343531012535095,-0.089503601193428,0.2280595153570175,0.706931471824646,-0.1031529009342193,0.2380209863185882,0.7537761330604553,-0.0969793274998664,0.1612894237041473,0.6743709444999695,-0.0486100241541862,0.1915042400360107,0.706716001033783,-0.0868412107229232,0.2193850874900818,0.7666674852371216,-0.0941287353634834,0.2361403703689575,0.804025411605835,-0.0890105441212654
paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-12T18:43:44.284304,0.1573791950941085,0.5517936944961548,3.720336678725289e-07,0.1810789257287979,0.5182616710662842,-0.0263836830854415,0.2005208283662796,0.4674905836582184,-0.0400798916816711,0.220195472240448,0.4205469489097595,-0.0511464364826679,0.2410805225372314,0.3874404430389404,-0.0617732480168342,0.1595454812049865,0.3747177720069885,-0.0229598209261894,0.1592325717210769,0.3033152818679809,-0.0370329804718494,0.1583533883094787,0.2560915350914001,-0.0493482537567615,0.1583455055952072,0.2141834050416946,-0.0585104003548622,0.1389141529798507,0.3726387023925781,-0.0192939713597297,0.129363015294075,0.2953956425189972,-0.0312281753867864,0.124590590596199,0.2405373603105545,-0.0426299236714839,0.122011050581932,0.1934407651424408,-0.0511256568133831,0.1228410229086875,0.3876761496067047,-0.0183574948459863,0.1112513691186904,0.3177049458026886,-0.0300160478800535,0.1065006107091903,0.2703065276145935,-0.0404794700443744,0.1045185849070549,0.2281751930713653,-0.0477677471935749,0.109770119190216,0.4152153730392456,-0.0199406705796718,0.0931736677885055,0.3746283650398254,-0.0311424694955348,0.082914225757122,0.3448210656642914,-0.0381475985050201,0.0748401656746864,0.3157914280891418,-0.0427188575267791
paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-12T18:43:42.484198,0.416805624961853,0.9223361611366272,4.239779798353993e-07,0.4527791738510132,0.8806777596473694,-0.0252709165215492,0.4807465374469757,0.8198398351669312,-0.0372272059321403,0.5061944127082825,0.7701785564422607,-0.0469885356724262,0.5296937823295593,0.7377389669418335,-0.0565527193248271,0.4385066926479339,0.7291698455810547,-0.0209007691591978,0.4467875957489013,0.6487744450569153,-0.0355558656156063,0.4508750438690185,0.5963111519813538,-0.0481237061321735,0.4545077979564667,0.5500205755233765,-0.057311937212944,0.4118367433547973,0.7237821221351624,-0.0187274925410747,0.4086310863494873,0.6334967017173767,-0.0310428459197282,0.4076860547065735,0.5716265439987183,-0.0428054891526699,0.4075317084789276,0.5187849402427673,-0.0515854135155677,0.3881534934043884,0.7363914847373962,-0.0195746980607509,0.3797781765460968,0.6543810963630676,-0.0325444154441356,0.3772337138652801,0.5995349884033203,-0.0438180863857269,0.3766005933284759,0.55091792345047,-0.0513747222721576,0.3664517402648926,0.7638480067253113,-0.0228522978723049,0.3490848243236542,0.7091034054756165,-0.0357178635895252,0.3383653163909912,0.6712097525596619,-0.043133907020092,0.3302977383136749,0.6330379843711853,-0.0477472059428691
rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-12T18:42:50.335949,0.3176314532756805,0.8280869722366333,-1.3187494118938048e-07,0.393626719713211,0.7943744659423828,-0.0504213161766529,0.4529011249542236,0.7309513092041016,-0.0876112952828407,0.4713993966579437,0.657488226890564,-0.1201949790120124,0.435234010219574,0.6378077268600464,-0.1465606987476349,0.4076775908470154,0.5242042541503906,-0.0558870919048786,0.4407309293746948,0.5537797808647156,-0.106929138302803,0.4252362847328186,0.638120174407959,-0.1278516799211502,0.4039256274700165,0.641200602054596,-0.1371162831783294,0.357240229845047,0.5186128616333008,-0.0537619180977344,0.3950303494930267,0.5592797994613647,-0.1082944720983505,0.3852207362651825,0.6750341057777405,-0.115913987159729,0.3709106147289276,0.6497681140899658,-0.1109192296862602,0.3132854700088501,0.5395768880844116,-0.0582224316895008,0.342362493276596,0.5914449691772461,-0.1103808507323265,0.3434450030326843,0.6838271617889404,-0.1003193780779838,0.3327133059501648,0.6596209406852722,-0.083346426486969,0.274783045053482,0.5647488236427307,-0.0669668763875961,0.2969144284725189,0.6010562181472778,-0.0964704230427742,0.3049810528755188,0.6624072790145874,-0.087998054921627,0.2976130843162536,0.6540180444717407,-0.0754578486084938
paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-12T18:43:30.604379,0.2955151200294494,0.5808854699134827,4.135948472594464e-07,0.3233621716499328,0.5482285618782043,-0.0303301680833101,0.3423811495304107,0.5026699304580688,-0.0489738434553146,0.3610486984252929,0.4603639245033264,-0.0641276836395263,0.3817917704582214,0.4269381761550903,-0.07976895570755,0.2986487448215484,0.4339579939842224,-0.0425688065588474,0.2996243834495544,0.3646633625030517,-0.0631791278719902,0.2991888225078583,0.317158579826355,-0.0777700170874595,0.2977922558784485,0.274289071559906,-0.0880745500326156,0.2738702297210693,0.4314416944980621,-0.0391042716801166,0.2655076682567596,0.3523102402687073,-0.0576563589274883,0.2603935599327087,0.2989418506622314,-0.0707795619964599,0.2547011077404022,0.2512889802455902,-0.0805738419294357,0.2528260946273803,0.445972204208374,-0.0378435216844081,0.2374921441078186,0.376414954662323,-0.055286806076765,0.2284045666456222,0.3286219239234924,-0.0678438916802406,0.2214049696922302,0.2859613299369812,-0.0764974653720855,0.2355478256940841,0.4724574983119964,-0.038879208266735,0.2136658132076263,0.4271990656852722,-0.0544058345258235,0.199497640132904,0.395479291677475,-0.0636294186115264,0.1877164393663406,0.3628133535385132,-0.0701685845851898
scissors,0.1440791189670562,1.0594367980957031,9.440819326300698e-07,0.2355384081602096,0.9913044571876526,-0.0545176416635513,0.2889779508113861,0.820237398147583,-0.0693279281258583,0.2512090802192688,0.6686187982559204,-0.0824949368834495,0.183157131075859,0.572878897190094,-0.0929415971040725,0.3047558069229126,0.6452904939651489,-0.0148146878927946,0.3570261597633362,0.4620161652565002,-0.0450797379016876,0.3827286064624786,0.3503439426422119,-0.0627759993076324,0.4003588557243347,0.259730726480484,-0.0705493614077568,0.2338421791791916,0.6322240829467773,-0.0156979858875274,0.2578395009040832,0.4089103639125824,-0.0544131100177764,0.2724565863609314,0.2771744132041931,-0.0766776204109191,0.277407705783844,0.1737152934074401,-0.0813933834433555,0.1633073985576629,0.6685477495193481,-0.0245472956448793,0.1859987527132034,0.5680434107780457,-0.1030942797660827,0.2018276453018188,0.6897517442703247,-0.1178363412618637,0.1961252838373184,0.7728412747383118,-0.0998435690999031,0.0930314809083938,0.7342853546142578,-0.0352183580398559,0.1285854578018188,0.643523097038269,-0.1007474437355995,0.1542815268039703,0.7461250424385071,-0.0978050008416175,0.1560989618301391,0.8334894180297852,-0.07659762352705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scissors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-12T18:43:22.893206,0.5471931099891663,0.597157895565033,3.008865121501003e-07,0.5877128839492798,0.602310061454773,-0.0088306544348597,0.6270942091941833,0.5798666477203369,-0.0159524865448474,0.6508033871650696,0.5474572777748108,-0.0261319000273942,0.64536052942276,0.509778618812561,-0.0349470414221286,0.6452869176864624,0.4698866307735443,-0.0071304524317383,0.6828216314315796,0.4121542572975158,-0.0200202260166406,0.7023414969444275,0.3755629062652588,-0.0279708206653594,0.7167685627937317,0.3403911292552948,-0.0332487076520919,0.6260846853256226,0.4469695091247558,-0.015640515834093,0.6579661965370178,0.3621452450752258,-0.034576304256916,0.6776067614555359,0.3118535876274109,-0.0464771836996078,0.6898155808448792,0.2690373957157135,-0.052080824971199,0.6029248833656311,0.4440248012542724,-0.0252219848334789,0.6393522620201111,0.4237971603870392,-0.0501037128269672,0.6408964991569519,0.4791336953639984,-0.0526671223342418,0.6351445317268372,0.5147652626037598,-0.0466054156422615,0.5812988877296448,0.457326203584671,-0.0356522090733051,0.613280713558197,0.4555619955062866,-0.0520011596381664,0.624154269695282,0.4902995228767395,-0.0508720874786376,0.62630295753479,0.5172308087348938,-0.0454438962042331
